subscription_id,consumer_id,frequency,start_date,tenure_days,box_value,price_sensitivity,still_active,churn_risk_score,churn_risk_tier
SUB-0000,CONS-0474,Monthly,2023-04-25,67,300.46,0.6226619034068959,True,47.4,Medium
SUB-0001,CONS-0426,Weekly,2022-12-18,195,371.0,0.2754052352979177,True,49.9,Medium
SUB-0002,CONS-0036,Weekly,2023-05-30,32,280.99,0.4912813322394281,True,43.2,Medium
SUB-0003,CONS-0265,Biweekly,2023-02-15,136,544.5,0.3023791682112219,True,53.5,High
SUB-0004,CONS-0260,Monthly,2023-03-12,111,529.98,0.4931224471921576,False,59.6,High
SUB-0005,CONS-0538,Weekly,2023-05-11,51,183.95,0.6290733184858245,True,45.9,Medium
SUB-0006,CONS-0071,Biweekly,2023-05-02,60,332.25,0.2963709278346481,True,32.4,Medium
SUB-0007,CONS-0609,Biweekly,2023-06-23,8,593.17,0.0386592162726412,False,35.3,Medium
SUB-0008,CONS-0786,Biweekly,2023-03-28,95,229.01,0.0907679170010341,True,24.7,Low
SUB-0009,CONS-0264,Biweekly,2023-02-03,148,239.84,0.5524204716446935,False,33.4,Medium
SUB-0010,CONS-0056,Monthly,2022-12-30,183,413.89,0.2724090460780626,True,45.5,Medium
SUB-0011,CONS-0693,Weekly,2023-06-11,20,151.37,0.3170844578626148,True,37.6,Medium
SUB-0012,CONS-0419,Biweekly,2023-01-28,154,378.8,0.7680972551713036,False,46.7,Medium
SUB-0013,CONS-0391,Weekly,2022-12-21,192,264.79,0.6313994687675574,True,49.2,Medium
SUB-0014,CONS-0523,Biweekly,2023-04-08,84,468.95,0.0832492671149929,True,28.0,Medium
SUB-0015,CONS-0082,Biweekly,2023-02-06,145,302.71,0.7928413635639198,False,42.8,Medium
SUB-0016,CONS-0578,Weekly,2023-05-28,34,486.99,0.1813555957842706,True,50.5,High
SUB-0017,CONS-0055,Weekly,2023-05-11,51,257.03,0.6370016643320424,False,47.8,Medium
SUB-0018,CONS-0729,Weekly,2023-01-14,168,463.68,0.6695747737487419,False,64.8,High
SUB-0019,CONS-0773,Weekly,2023-06-21,10,181.8,0.6336828717609809,True,40.2,Medium
SUB-0020,CONS-0413,Weekly,2023-03-12,111,389.35,0.6530610040896853,True,61.9,High
SUB-0021,CONS-0744,Biweekly,2023-01-29,153,217.3,0.7699565592644861,False,40.8,Medium
SUB-0022,CONS-0078,Weekly,2023-04-10,82,250.12,0.2786659591033693,True,40.5,Medium
SUB-0023,CONS-0447,Weekly,2023-05-01,61,413.15,0.1345983307596982,False,44.3,Medium
SUB-0024,CONS-0768,Biweekly,2023-03-11,112,491.41,0.6294477715868716,False,56.0,High
SUB-0025,CONS-0321,Weekly,2023-02-16,135,204.51,0.6152250354890462,False,42.0,Medium
SUB-0026,CONS-0478,Biweekly,2022-12-15,198,374.84,0.4290504764296433,True,36.8,Medium
SUB-0027,CONS-0682,Biweekly,2023-01-22,160,570.14,0.8664270120922118,True,69.9,High
SUB-0028,CONS-0650,Weekly,2023-03-16,107,395.87,0.4425250417070485,True,54.2,High
SUB-0029,CONS-0618,Biweekly,2023-01-24,158,463.9,0.3645095693808905,True,47.5,Medium
SUB-0030,CONS-0243,Biweekly,2023-02-21,130,598.32,0.1317323231832223,False,34.2,Medium
SUB-0031,CONS-0498,Monthly,2023-06-06,25,235.11,0.3490550020038376,False,31.3,Medium
SUB-0032,CONS-0187,Biweekly,2023-04-08,84,259.88,0.8235868163524108,True,47.8,Medium
SUB-0033,CONS-0179,Monthly,2023-03-12,111,299.09,0.523715718696338,True,42.2,Medium
SUB-0034,CONS-0247,Weekly,2023-06-21,10,574.25,0.3226308233620419,False,60.7,High
SUB-0035,CONS-0185,Biweekly,2023-06-02,29,306.2,0.3129540913093834,True,36.5,Medium
SUB-0036,CONS-0754,Weekly,2023-05-10,52,277.19,0.2075974768634734,False,35.4,Medium
SUB-0037,CONS-0065,Weekly,2023-05-15,47,510.16,0.7802558014108881,True,74.2,High
SUB-0038,CONS-0699,Weekly,2023-03-11,112,307.54,0.2928474381343118,True,42.9,Medium
SUB-0039,CONS-0788,Biweekly,2023-03-26,97,300.71,0.7700664883566816,True,45.3,Medium
SUB-0040,CONS-0288,Weekly,2023-01-30,152,494.98,0.3143690731455446,False,54.5,High
SUB-0041,CONS-0723,Weekly,2022-12-14,199,559.0,0.5459174403038163,False,67.9,High
SUB-0042,CONS-0596,Weekly,2023-04-13,79,319.74,0.7666919153575902,False,57.4,High
SUB-0043,CONS-0345,Weekly,2023-04-19,73,379.48,0.645795095166113,True,58.0,High
SUB-0044,CONS-0576,Weekly,2023-02-19,132,365.19,0.8609550581500001,False,67.0,High
SUB-0045,CONS-0437,Monthly,2023-02-11,140,329.84,0.7860100064358981,True,53.9,High
SUB-0046,CONS-0193,Biweekly,2022-12-24,189,271.55,0.5206335820437987,True,40.7,Medium
SUB-0047,CONS-0563,Weekly,2022-12-24,189,212.4,0.7088111694543747,True,51.2,High
SUB-0048,CONS-0475,Weekly,2023-02-03,148,423.55,0.791433507958391,False,67.8,High
SUB-0049,CONS-0388,Weekly,2023-05-16,46,209.7,0.6717055571279983,True,55.2,High
SUB-0050,CONS-0781,Biweekly,2023-03-01,122,528.24,0.5404675674977962,True,52.1,High
SUB-0051,CONS-0038,Weekly,2023-06-13,18,457.24,0.280273107407937,True,49.7,Medium
SUB-0052,CONS-0287,Weekly,2023-05-22,40,323.59,0.5674610538543858,True,53.8,High
SUB-0053,CONS-0734,Weekly,2023-02-04,147,462.31,0.1586683408225299,True,50.5,High
SUB-0054,CONS-0289,Weekly,2023-02-17,134,531.31,0.8384739252877915,False,75.3,Critical
SUB-0055,CONS-0045,Biweekly,2023-03-02,121,255.81,0.7729755487435173,False,43.7,Medium
SUB-0056,CONS-0371,Biweekly,2022-12-14,199,520.91,0.4812310913890703,True,55.0,High
SUB-0057,CONS-0173,Weekly,2023-06-05,26,408.12,0.2918302432370715,False,50.5,High
SUB-0058,CONS-0241,Weekly,2023-03-07,116,288.74,0.6085128449090557,True,49.6,Medium
SUB-0059,CONS-0003,Weekly,2023-04-27,65,269.87,0.0721640739162169,True,34.3,Medium
SUB-0060,CONS-0219,Monthly,2022-12-14,199,552.76,0.6149071274719009,False,56.4,High
SUB-0061,CONS-0659,Biweekly,2023-05-24,38,330.37,0.4783836375735519,True,36.7,Medium
SUB-0062,CONS-0352,Biweekly,2023-04-17,75,551.12,0.4376208740496113,True,52.9,High
SUB-0063,CONS-0689,Weekly,2023-05-01,61,225.08,0.6582920199990855,True,55.0,High
SUB-0064,CONS-0428,Monthly,2023-03-01,122,473.64,0.7062222752742309,True,62.9,High
SUB-0065,CONS-0787,Weekly,2023-05-24,38,507.48,0.712426118969876,False,69.0,High
SUB-0066,CONS-0230,Weekly,2023-05-16,46,189.03,0.528059937106477,True,39.1,Medium
SUB-0067,CONS-0555,Weekly,2023-04-18,74,344.18,0.3362917474676925,True,49.1,Medium
SUB-0068,CONS-0500,Weekly,2023-04-24,68,170.44,0.9090536620498436,True,50.3,High
SUB-0069,CONS-0348,Biweekly,2023-03-08,115,244.95,0.6589305686206745,True,39.8,Medium
SUB-0070,CONS-0600,Weekly,2023-05-26,36,285.15,0.2454709661871679,True,43.7,Medium
SUB-0071,CONS-0593,Weekly,2023-02-28,123,387.28,0.5987874142261456,True,58.9,High
SUB-0072,CONS-0145,Monthly,2023-03-21,102,282.38,0.87735361403986,True,50.7,High
SUB-0073,CONS-0795,Biweekly,2023-04-06,86,269.2,0.5431444475857214,True,37.1,Medium
SUB-0074,CONS-0018,Monthly,2023-05-14,48,409.4,0.6995960992143654,False,55.5,High
SUB-0075,CONS-0398,Weekly,2023-03-17,106,438.07,0.6670032005647593,True,63.1,High
SUB-0076,CONS-0034,Weekly,2023-01-21,161,436.81,0.6015007783142168,False,58.2,High
