farmer_id,n_reviews,avg_star_rating,avg_predicted_sentiment,quality_risk_flag
FARM-0000,16,3.625,0.5315159570836465,False
FARM-0001,12,3.3333333333333335,0.5296924253011775,False
FARM-0002,27,3.7037037037037037,0.4926263713279425,False
FARM-0005,74,3.7567567567567566,0.4907129778646894,False
FARM-0006,47,3.25531914893617,0.43796421444321987,False
FARM-0007,52,3.480769230769231,0.4751028582012848,False
FARM-0008,24,3.3333333333333335,0.4724805436761738,False
FARM-0009,21,3.6666666666666665,0.4341985722801767,False
FARM-0010,22,3.1363636363636362,0.3244174318908973,True
FARM-0011,6,3.8333333333333335,0.5317640905843134,False
FARM-0012,4,4.25,0.7407923081070593,False
FARM-0015,22,3.0,0.3939641165175113,True
FARM-0016,22,2.8636363636363638,0.3303413384216535,True
FARM-0017,68,3.1911764705882355,0.40486745184406425,False
FARM-0018,22,3.727272727272727,0.5188391287998679,False
FARM-0019,25,3.52,0.4794248305545852,False
FARM-0021,22,2.9545454545454546,0.3548584626090695,True
FARM-0022,14,3.0714285714285716,0.3927343671404916,True
FARM-0023,4,2.5,0.4118699646356641,False
FARM-0024,11,3.3636363636363638,0.4808678509701221,False
FARM-0025,26,3.423076923076923,0.4404809898211145,False
FARM-0026,2,4.0,0.6045085407111395,False
FARM-0027,8,3.375,0.4581341749726422,False
FARM-0028,10,3.0,0.47437357943803027,False
FARM-0029,10,4.5,0.6613022558111858,False
FARM-0030,5,4.0,0.4804550803760589,False
FARM-0031,5,3.2,0.34636996905429684,True
FARM-0032,1,5.0,0.7228578531920824,False
FARM-0033,18,3.4444444444444446,0.4431307463375324,False
FARM-0034,1,4.0,0.2710501505934448,False
FARM-0036,8,3.25,0.379532650502458,True
FARM-0037,24,3.625,0.48189795152732334,False
FARM-0039,18,3.0555555555555554,0.41615093917454843,False
FARM-0040,13,3.8461538461538463,0.42783115424564766,False
FARM-0041,15,3.066666666666667,0.34094581375908284,True
FARM-0042,13,3.3846153846153846,0.3652163764734206,True
FARM-0044,2,5.0,0.4969540018927636,False
FARM-0045,8,3.625,0.4372500861911286,False
FARM-0046,18,2.888888888888889,0.4024251375719481,False
FARM-0047,1,4.0,0.6494034374505385,False
